Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Guatemala,,,,,,,,8,7.2,8.1,11.4,7.1,3.2,3.2,7.2,6,6,7.5,5.5,9.3,13.5,19.2,19.7,8.6,10.6,7.8,12.7,20.5,33.3,26.9,55.6,32.488094,81.9229575,86.086,33.7,42.1,45.5,16.9,26.05825136,21.9767,20.762364,26.7892,27.9052,27.63729,26.71746,24.8793,26.3
Guinea,,,,,,,,,,,,,,,,,11.75,11.72,19.73,18.33,20.4,20.94,21.57,19.92,22.24,10.43,11.261,14.4,22.93,17.92762,26.9108493,36.8330456,17.81,46.3764109,47.95,59.86,51.6,38.96,55.51,44.87,40.98,38.81,50.72,80.56,,25.6995,33.870676
Guinea-Bissau,,,,,,,,,,,,,18.6,12.6,5.5,4,11.5,11.6,9.9,15.75,11.62,20.01,14.96,14.82,13.24,3.41,,,,,,,5.41616048,6.48829652,5.373995165,5.351981988,4.322131856,4.330027104,16.75018702,20.19017104,19.65011902,29.95765023,24.96498051,34.54517591,,38.406676,
Guyana,,,,,,,,,,,,0.42666667,,,,,,,,,,,4.53,11.24,11.2,12.01,23.3,17.9,21.6,27.2,27.4,24.1,53.1,50.4,80.627,54.806,48.429,61.144,72.15444274,85.62487503,128.1198786,138.27,183.6880212,122.8373553,122.2295303,118.724056,
Haiti,,5.4,3.2799879,7.94,10.3999914,39.38,44.84,44.1,47.28,50.68,54.34,61.84,47.34,43.48,45,47.24,53.4,56.92,60.68,63.46,,,,,,,,,,,11,19.34,22,31.35,38.52,59.686,75.515,96.408,117.0802117,134.8240038,166.9785617,240.2373935,231.9240772,247.6943207,248.5970744,247.297664,266.344544
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,9.5,0.5,0.6,9.4,11.5,10.9,12.004819,16.634547,0.483545772,2.121696767,2.48722,36.95,27.18794039,27.28533755,32.97528377,36.43174342,40.93814739,42.1,41.1,41.1
"Hong Kong SAR, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,167,225,309,299,317,321,348.0866644,376.5509184,387.6250089,393.1066553,413.3262438,482.9367862,554.3449737,607.1185052,656.3980552,711.4986991,758.670592,816.784256
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,146.1443022,94.15404095,86.10081753,75.2718346,98.3416003,86.23254,100.7841966,106.7482991,114.0754549,814.1151713,911.6331218,981.2360756,1367.381513,1526.310796,1192.171514,1133.316404,1194.844408,1088.627375,837.1355428,844.9325393,675.24584,702.776016
Iceland,,,,,,,0.3,2,3.9,5.1,5.5,4.6,5.3,3.8,5.6,4.8,6.7,17.3,16.5,16.8,24.645081,25.886523,25.37891,20.569294,17.5090879,19.9221561,14.8650008,16.6585043,17.6503301,22.8981328,30.943159,16.9387528,22.7768516,26.2519342,46.617572,54.41456935,81.57354819,114.8131491,100.74001,68.0698524,67.2009517,72.74619533,67.93283921,72.5957546,94.21555089,84.084354,149.131876
India,,,,,,,9.1388535,11.64125,57.404832,10.211729,29.241802,15.402513,13.516845,39.727379,27.499766,30.896383,42.055765,65.468296,93.125844,98.65008,106,51.58417,67.776932,259,351,419,538,162,44.157098,36.167394,486,751,1187,1265,1653,1348.282858,1561.865362,2059.330846,3812.363581,2889.988304,3828.678498,4077.745355,4963.082154,6431.771262,6221.785952,4882.83264,5622.66112
